,F1,AUC,Mean Minority Recall
"('sick_euthyroid', 'Logistic Regression', 'Oversampling')",0.5431734743501802,0.9446964405354166,0.9248977206312098
"('sick_euthyroid', 'Logistic Regression', 'Gamma')",0.3981379592836675,0.9067303795689707,0.9080654587960257
"('sick_euthyroid', 'Random Forest', 'No Sampling')",0.864430042988578,0.9843876067340451,0.8364699006428988
"('sick_euthyroid', 'Random Forest', 'SMOTE')",0.8633251338670558,0.9832744467546537,0.8704266510812391
"('sick_euthyroid', 'Random Forest', 'ADASYN')",0.8579484890261794,0.9855767762194614,0.8636469900642899
"('sick_euthyroid', 'Random Forest', 'Undersampling')",0.7990817625211303,0.9833719914388757,0.9248977206312098
"('sick_euthyroid', 'Random Forest', 'Oversampling')",0.8732459160440463,0.9850411459362152,0.8773232028053769
"('sick_euthyroid', 'Random Forest', 'Gamma')",0.8048523617762321,0.9748679888485452,0.8126241963763882
"('sick_euthyroid', 'SVM', 'No Sampling')",0.07486978774650008,0.9467587774942624,0.044301578024547046
"('sick_euthyroid', 'SVM', 'SMOTE')",0.5999581633185979,0.9524267040282492,0.9248392752776156
"('sick_euthyroid', 'SVM', 'ADASYN')",0.5839296159675128,0.952039070820699,0.9282291057860901
"('sick_euthyroid', 'SVM', 'Undersampling')",0.4584492784456894,0.9387417346662404,0.935125657510228
"('sick_euthyroid', 'SVM', 'Oversampling')",0.5784988291950259,0.9528130135605439,0.9282291057860901
"('sick_euthyroid', 'SVM', 'Gamma')",0.4285174552666377,0.9270308742162315,0.9182349503214494
"('sick_euthyroid', 'KNN', 'No Sampling')",0.5472907983135776,0.8564887579242327,0.46797194623027466
"('sick_euthyroid', 'KNN', 'SMOTE')",0.5645616720456655,0.8637059954343386,0.6661016949152542
"('sick_euthyroid', 'KNN', 'ADASYN')",0.5601373783976338,0.8616638190678476,0.6489187609585038
"('sick_euthyroid', 'KNN', 'Undersampling')",0.42369018246977896,0.8819977619706062,0.853302162478083
"('sick_euthyroid', 'KNN', 'Oversampling')",0.581388303703511,0.8563034942990324,0.6932203389830509
"('sick_euthyroid', 'KNN', 'Gamma')",0.47691653213050583,0.8283318433501611,0.5908825248392754
"('solar_flare_m0', 'Logistic Regression', 'No Sampling')",0.06666666666666667,0.7927876918678806,0.04395604395604395
"('solar_flare_m0', 'Logistic Regression', 'SMOTE')",0.17357850055105054,0.7703889192568438,0.5472527472527473
"('solar_flare_m0', 'Logistic Regression', 'ADASYN')",0.1840430088819826,0.76961066449274,0.5901098901098901
"('solar_flare_m0', 'Logistic Regression', 'Undersampling')",0.1825262976669551,0.7668521023002155,0.6615384615384615
